ligand_id,pred_pIC50,pred_pose,pred_pIC50_var
1xl2_ref,8.501953,0.8682253,0.21209209
CHEMBL104685,7.642578,0.3285022,0.12476095
CHEMBL105589,6.807617,0.16766751,0.27268854
CHEMBL109218,5.709961,0.6172898,0.8383827
CHEMBL109276,4.1782227,0.08763406,0.6406285
CHEMBL109716,3.9814453,0.043522086,0.75247574
CHEMBL109720,4.783203,0.17440638,0.30800882
CHEMBL109804,4.5458984,0.17907992,1.1708006
CHEMBL111447,3.9433594,0.0770555,0.99168396
CHEMBL113361,4.7475586,0.08811877,1.7405888
CHEMBL1159655,8.203125,0.43285078,0.65441895
CHEMBL1161737,6.678711,0.4394813,0.6411883
CHEMBL116537,6.625,0.69043636,1.2621765
CHEMBL118006,6.7617188,0.2556338,0.43014526
CHEMBL121855,7.3476562,0.21453089,1.2303568
CHEMBL12707,5.7353516,0.07406553,2.2343075
CHEMBL129900,6.763672,0.3495779,0.4374644
CHEMBL139434,6.1591797,0.23390962,0.3225441
CHEMBL146380,7.5878906,0.35781732,1.6977692
CHEMBL171729,7.3984375,0.35198238,1.4207458
CHEMBL179323,7.5478516,0.46799827,0.55424374
CHEMBL218403,8.214844,0.11251517,0.25901285
CHEMBL23309,7.7871094,0.34249848,0.24386089
CHEMBL25704,5.1640625,0.5424989,0.37773642
CHEMBL273330,6.9248047,0.15908463,0.03345108
CHEMBL277138,6.3378906,0.18794264,1.3196665
CHEMBL285417,8.118164,0.38815916,0.86621475
CHEMBL288010,9.125,0.62508875,0.36340332
CHEMBL290074,8.310547,0.47661054,0.64842224
CHEMBL293808,8.697266,0.5216194,0.57606506
CHEMBL294635,7.270508,0.2973938,0.483565
CHEMBL294840,5.852539,0.091448784,0.3319842
CHEMBL305836,7.3085938,0.2766108,0.23440552
CHEMBL310124,8.261719,0.46452746,1.0785624
CHEMBL310437,4.5166016,0.029862994,0.84418106
CHEMBL312902,3.9667969,0.08263708,0.5123062
CHEMBL313993,8.160156,0.75320923,0.35301718
CHEMBL318293,6.8496094,0.38682032,0.9776459
CHEMBL320767,4.3901367,0.05384661,1.7483937
CHEMBL322094,5.803711,0.20536542,0.22751236
CHEMBL329627,5.3603516,0.6757026,0.5854327
CHEMBL333820,4.2216797,0.021976668,0.68675107
CHEMBL343044,5.870117,0.12404093,0.30918756
CHEMBL35046,6.100586,0.2586678,0.47188696
CHEMBL35980,8.34082,0.43460023,0.102064766
CHEMBL364568,6.7421875,0.15947649,0.6277568
CHEMBL37048,6.513672,0.3510595,0.68503314
CHEMBL371589,8.870117,0.5673337,0.8276507
CHEMBL37624,5.5302734,0.32815996,0.43742242
CHEMBL37953,5.2314453,0.14019407,0.5123227
CHEMBL38154,7.466797,0.35352194,0.24545796
CHEMBL39772,4.984375,0.2936108,0.8047994
CHEMBL40645,4.5791016,0.012598105,0.16539891
CHEMBL412862,8.142578,0.47611794,0.23019917
CHEMBL415722,5.9492188,0.093497194,1.2954305
CHEMBL431195,7.2929688,0.3299569,0.5307719
CHEMBL432212,6.2714844,0.105980076,0.7745616
CHEMBL43922,6.0703125,0.20430869,0.73798627
CHEMBL440364,5.928711,0.16569687,0.419885
CHEMBL57707,8.356445,0.551665,0.3095843
CHEMBL62390,6.3720703,0.14784795,1.0462176
CHEMBL64588,4.272949,0.117966935,0.43466282
CHEMBL81697,4.4799805,0.10590986,1.0262104
CHEMBL84199,4.878418,0.3949396,1.0438496
CHEMBL84254,4.315918,0.26970848,0.26373896
CHEMBL84281,4.046875,0.02423618,0.12389374
CHEMBL86563,5.352539,0.4380962,0.579848
CHEMBL87092,6.5214844,0.34961876,0.4397227
CHEMBL88167,4.208008,0.08202221,1.1821404
CHEMBL90284,5.0063477,0.08469525,0.63602036
CHEMBL96869,6.9248047,0.4340887,1.0677935
