ligand_id,smiles,canonical_smiles,chembl_id,group,source,activity_type,relation,value_nM,p_activity,heavy_atoms,mw,num_rot_bonds,murcko_scaffold,vina_affinity,vina_affinity_2,n_poses,seconds,hit_7,pred_pIC50,pred_pose,pred_pIC50_var
CHEMBL1159655,Cc1c(cccc1O)C(=O)N[C@H](CSc2ccccc2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,Cc1c(O)cccc1C(=O)N[C@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,CHEMBL1159655,positive,DUD-E actives_nM_chembl,Ki,=,0.01,11.0,40,567.8,9,O=C(N[C@@H](CCN1CC[C@@H]2CCCC[C@@H]2C1)CSc1ccccc1)c1ccccc1,-9.248,-9.218,5,205.9,True,8.203125,0.43285078,0.65441895
CHEMBL412862,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4[nH]ccn4)CC5CC5)Cc6ccccc6)O)O,O=C(Nc1ncc[nH]1)c1cccc(CN2C(=O)N(CC3CC3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,CHEMBL412862,positive,DUD-E actives_nM_chembl,Ki,=,0.016,10.795880017344077,43,579.7,10,O=C(Nc1ncc[nH]1)c1cccc(CN2C(=O)N(CC3CC3)[C@H](Cc3ccccc3)CC[C@H]2Cc2ccccc2)c1,-7.864,-7.81,5,529.6,True,8.142578,0.47611794,0.23019917
CHEMBL57707,CCCCN1[C@@H]([C@@H]([C@H]([C@H](N(C1=O)Cc2cccc(c2)C(=O)Nc3[nH]ccn3)Cc4ccccc4)O)O)Cc5ccccc5,CCCCN1C(=O)N(Cc2cccc(C(=O)Nc3ncc[nH]3)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,CHEMBL57707,positive,DUD-E actives_nM_chembl,Ki,=,0.025,10.602059991327964,43,581.72,11,O=C(Nc1ncc[nH]1)c1cccc(CN2C(=O)N[C@H](Cc3ccccc3)CC[C@H]2Cc2ccccc2)c1,-7.711,-7.171,5,555.5,True,8.356445,0.551665,0.3095843
CHEMBL310124,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)O)Cc4ccc5c(c4)cn[nH]5)Cc6ccccc6)O)O,O=C(O)c1cccc(CN2C(=O)N(Cc3ccc4[nH]ncc4c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,CHEMBL310124,positive,DUD-E actives_nM_chembl,Ki,=,0.049,10.309803919971486,44,590.68,9,O=C1N(Cc2ccccc2)[C@H](Cc2ccccc2)CC[C@@H](Cc2ccccc2)N1Cc1ccc2[nH]ncc2c1,-8.091,-8.07,5,610.5,True,8.261719,0.46452746,1.0785624
CHEMBL129900,CCC(c1cccc(c1)NS(=O)(=O)c2ccc(cc2)C#N)c3c(c4c(oc3=O)CCCC4)O,CCC(c1cccc(NS(=O)(=O)c2ccc(C#N)cc2)c1)c1c(O)c2c(oc1=O)CCCC2,CHEMBL129900,positive,DUD-E actives_nM_chembl,Ki,=,0.065,10.187086643357144,33,464.54,6,O=c1oc2c(cc1Cc1cccc(NS(=O)(=O)c3ccccc3)c1)CCCC2,-9.797,-9.752,5,99.2,True,6.763672,0.3495779,0.4374644
CHEMBL415722,CCC(c1cccc(c1)NS(=O)(=O)c2ccc(cn2)C#N)c3c(c4c(oc3=O)CCC4)O,CCC(c1cccc(NS(=O)(=O)c2ccc(C#N)cn2)c1)c1c(O)c2c(oc1=O)CCC2,CHEMBL415722,positive,DUD-E actives_nM_chembl,Ki,=,0.075,10.1249387366083,32,451.5,6,O=c1oc2c(cc1Cc1cccc(NS(=O)(=O)c3ccccn3)c1)CCC2,-8.905,-8.832,5,70.6,True,5.9492188,0.093497194,1.2954305
CHEMBL1161737,C[C@@H](C(C)C)C(=O)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)NC(=O)[C@@H](C)C(C)C)Oc1ccc(cc1)/C=C/C(=O)OC)O)O)O,COC(=O)/C=C/c1ccc(O[C@@H](C(=O)NC(=O)[C@@H](C)C(C)C)[C@H](O)[C@@H](O)[C@@H](O)C(=O)NC(=O)[C@@H](C)C(C)C)cc1,CHEMBL1161737,positive,DUD-E actives_nM_chembl,Ki,=,0.09,10.045757490560677,40,564.63,13,c1ccccc1,-7.883,-7.85,5,269.3,True,6.678711,0.4394813,0.6411883
CHEMBL290074,Cc1c2cc(ccc2[nH]n1)CN3[C@@H]([C@H]([C@H](N(C3=O)Cc4cccc(c4)N)Cc5ccccc5)O)CCc6ccccc6,Cc1n[nH]c2ccc(CN3C(=O)N(Cc4cccc(N)c4)[C@H](Cc4ccccc4)[C@H](O)[C@H]3CCc3ccccc3)cc12,CHEMBL290074,positive,DUD-E actives_nM_chembl,Ki,=,0.13,9.886056647693165,42,559.71,9,O=C1N(Cc2ccc3[nH]ncc3c2)[C@H](CCc2ccccc2)C[C@@H](Cc2ccccc2)N1Cc1ccccc1,-10.094,-9.975,5,167.7,True,8.310547,0.47661054,0.64842224
CHEMBL285417,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)CO)Cc4cccc(c4)CO)Cc5ccccc5)O)O,O=C1N(Cc2cccc(CO)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(CO)c1,CHEMBL285417,positive,DUD-E actives_nM_chembl,Ki,=,0.14,9.853871964321762,42,566.7,10,O=C1N(Cc2ccccc2)[C@H](Cc2ccccc2)CC[C@@H](Cc2ccccc2)N1Cc1ccccc1,-7.545,-7.481,5,603.2,True,8.118164,0.38815916,0.86621475
CHEMBL371589,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc2ccccc2)NC(=O)OC3CCOC3)O)OC4CCCC4,COc1ccc(S(=O)(=O)N(C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)OC2CCOC2)OC2CCCC2)cc1,CHEMBL371589,positive,DUD-E actives_nM_chembl,Ki,=,0.19,9.721246399047171,38,548.66,12,O=C(N[C@H](CCN(OC1CCCC1)S(=O)(=O)c1ccccc1)Cc1ccccc1)OC1CCOC1,-8.153,-8.079,5,186.5,True,8.870117,0.5673337,0.8276507
CHEMBL218403,CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)[C@@H]2CN(C(=O)O2)c3ccccc3)O)S(=O)(=O)c4ccc(cc4)N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2ccccc2)C(=O)O1)S(=O)(=O)c1ccc(N)cc1,CHEMBL218403,positive,DUD-E actives_nM_chembl,Ki,=,0.53,9.275724130399212,41,580.71,12,O=C(N[C@H](CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)[C@@H]1CN(c2ccccc2)C(=O)O1,-8.834,-8.808,5,212.6,True,8.214844,0.11251517,0.25901285
CHEMBL171729,Cc1cc(c(cc1O)C(C)(C)C)SC2=C(OC(CC2=O)(CCc3ccccc3)C(C)C)O,Cc1cc(SC2=C(O)OC(CCc3ccccc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1O,CHEMBL171729,positive,DUD-E actives_nM_chembl,Ki,=,1.1,8.958607314841775,32,454.63,6,O=C1CC(CCc2ccccc2)OC=C1Sc1ccccc1,-9.018,-8.774,5,81.8,True,7.3984375,0.35198238,1.4207458
CHEMBL118006,CCCC1(CC(=O)C(=C(O1)O)C(CC)c2cccc(c2)NS(=O)(=O)c3cn(cn3)C)CCC,CCCC1(CCC)CC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3cn(C)cn3)c2)=C(O)O1,CHEMBL118006,positive,DUD-E actives_nM_chembl,Ki,=,1.8,8.744727494896694,33,475.61,10,O=C1CCOC=C1Cc1cccc(NS(=O)(=O)c2c[nH]cn2)c1,-7.689,-7.653,5,114.5,True,6.7617188,0.2556338,0.43014526
CHEMBL293808,c1ccc(cc1)C[C@@H]([C@H](C[C@]2(C(=C(C=N2)C3c4ccccc4C[C@H]3O)O)Cc5ccccc5)O)NC(=O)O[C@H]6CCOC6,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C[C@]1(Cc2ccccc2)N=CC(C2c3ccccc3C[C@H]2O)=C1O)O[C@H]1CCOC1,CHEMBL293808,positive,DUD-E actives_nM_chembl,IC50,=,2.0,8.698970004336019,43,582.7,10,O=C(N[C@H](CC[C@@]1(Cc2ccccc2)C=C(C2CCc3ccccc32)C=N1)Cc1ccccc1)O[C@H]1CCOC1,-9.194,-9.094,5,234.4,True,8.697266,0.5216194,0.57606506
CHEMBL364568,C[C@H](C[C@@H](C(Cc1ccccc1)NC(=O)C(C)NC(=O)C(C)N)O)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)OC,COC(=O)C(NC(=O)C(NC(=O)[C@H](C)C[C@H](O)C(Cc1ccccc1)NC(=O)C(C)NC(=O)C(C)N)C(C)C)C(C)C,CHEMBL364568,positive,DUD-E actives_nM_chembl,Ki,=,3.0,8.522878745280337,42,591.75,16,c1ccccc1,-7.968,-7.721,5,286.4,True,6.7421875,0.15947649,0.6277568
CHEMBL87092,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)C(C(=O)NCc2ccccc2)(F)F,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)C(F)(F)C(=O)NCc1ccccc1,CHEMBL87092,positive,DUD-E actives_nM_chembl,IC50,=,4.0,8.397940008672037,31,432.47,8,O=C(CCc1ccccc1)CC(=O)NCc1ccccc1,-7.247,-7.099,5,87.0,True,6.5214844,0.34961876,0.4397227
CHEMBL288010,CC(C)CCN(C[C@H]([C@@H]1Cc2ccc(cc2)OCCCC(=O)N[C@H](C(=O)N1)C(C)C)O)S(=O)(=O)c3ccccc3,CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCC(=O)N[C@@H](C(C)C)C(=O)N1)S(=O)(=O)c1ccccc1,CHEMBL288010,positive,DUD-E actives_nM_chembl,Ki,=,4.0,8.397940008672037,40,573.76,9,O=C1CCCOc2ccc(cc2)C[C@@H](CCNS(=O)(=O)c2ccccc2)NC(=O)CN1,-7.262,-6.826,5,433.6,True,9.125,0.62508875,0.36340332
CHEMBL38154,Cc1cc(c(cc1NC(=O)c2ccncc2)C(C)(C)C)SC3=C(OC(CC3=O)(CCc4ccc(cc4)O)C(C)C)O,Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1NC(=O)c1ccncc1,CHEMBL38154,positive,DUD-E actives_nM_chembl,IC50,=,5.08,8.29413628771608,41,574.74,8,O=C1CC(CCc2ccccc2)OC=C1Sc1ccc(NC(=O)c2ccncc2)cc1,-9.412,-9.179,5,165.2,True,7.466797,0.35352194,0.24545796
