ligand_id,vina_affinity,vina_affinity_2,n_poses,seconds,hit_7
1xl2_ref,-9.184,-9.184,5,286.6,True
CHEMBL104685,-8.992,-8.88,5,208.3,True
CHEMBL105589,-7.46,-7.385,5,104.5,True
CHEMBL109218,-6.444,-6.388,5,18.8,False
CHEMBL109276,-6.584,-6.025,5,15.5,False
CHEMBL109716,-6.018,-5.942,5,13.9,False
CHEMBL109720,-6.848,-6.571,5,24.2,False
CHEMBL109804,-6.223,-6.011,5,16.1,False
CHEMBL111447,-6.31,-6.248,5,14.6,False
CHEMBL113361,-5.954,-5.944,5,13.9,False
CHEMBL1159655,-9.248,-9.218,5,205.9,True
CHEMBL1161737,-7.883,-7.85,5,269.3,True
CHEMBL116537,-7.982,-7.801,5,298.3,True
CHEMBL118006,-7.689,-7.653,5,114.5,True
CHEMBL121855,-8.789,-8.467,5,108.4,True
CHEMBL12707,-8.091,-8.058,5,33.5,True
CHEMBL129900,-9.797,-9.752,5,99.2,True
CHEMBL139434,-6.348,-5.944,5,174.6,False
CHEMBL146380,-8.017,-7.931,5,106.0,True
CHEMBL171729,-9.018,-8.774,5,81.8,True
CHEMBL179323,-8.16,-8.063,5,169.6,True
CHEMBL218403,-8.834,-8.808,5,212.6,True
CHEMBL23309,-8.058,-7.867,5,283.5,True
CHEMBL25704,-7.938,-7.814,5,28.0,True
CHEMBL273330,-8.81,-8.436,5,121.0,True
CHEMBL277138,-7.531,-7.421,5,231.9,True
CHEMBL285417,-7.545,-7.481,5,603.2,True
CHEMBL288010,-7.262,-6.826,5,433.6,True
CHEMBL290074,-10.094,-9.975,5,167.7,True
CHEMBL293808,-9.194,-9.094,5,234.4,True
CHEMBL294635,-8.053,-8.025,5,87.2,True
CHEMBL294840,-7.032,-6.962,5,121.8,True
CHEMBL305836,-9.046,-8.704,5,149.0,True
CHEMBL310124,-8.091,-8.07,5,610.5,True
CHEMBL310437,-7.553,-7.48,5,19.8,True
CHEMBL312902,-8.722,-8.58,5,25.5,True
CHEMBL313993,-7.823,-7.717,5,151.7,True
CHEMBL318293,-8.286,-8.232,5,90.6,True
